no,rank,product_id,name,usd_cost,tariff,exchange_rate,pcs_per_unit,cost_jpy,import_tax,overseas_shipping,rakuten_list_price,rakuten_price,rakuten_discount1,rakuten_discount2,amazon_list_price,amazon_price,amazon_discount1,amazon_discount2,yahoo_list_price,yahoo_price,yahoo_discount1,yahoo_discount2,wholesale_list_price,wholesale_price,wholesale_discount1,wholesale_discount2,rakuten_shipping,amazon_shipping,yahoo_shipping,wholesale_shipping,rakuten_fee,amazon_fee,yahoo_fee
1,B,,HIDキット（35w）DC,3.7,0.0,120.0,1.0,444.0,44.400000000000006,45.45454545454545,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,449.99999999999994,495.0,449.99999999999994,983.8545454545454,0.0,0.0,0.0
2,B,,VELENO　ベロアポーチ　赤（張さんでも朱さんでもない）,0.61,0.0,158.0,1.0,97.0,9.7,45.45454545454545,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,152.15454545454546,0.0,0.0,0.0
3,B,,VELENO　ベロアポーチ　黒（張さんでも朱さんでもない）,0.61,0.0,158.0,1.0,97.0,9.7,45.45454545454545,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,152.15454545454546,0.0,0.0,0.0
4,B,f007wa,10400lm　LEDヘッドライト,57.0,0.0,120.0,1.0,6840.0,684.0,181.8181818181818,4700.0,4700.0,0,0,4700.0,4700.0,0,0,4700.0,4700.0,0,0,4700.0,4700.0,0,0,449.99999999999994,495.0,449.99999999999994,8155.818181818182,752.0,705.0,893.0
5,A,e292wz,2835　テープライト,4.02,0.0,157.0,1.0,632.0,63.2,45.45454545454545,2200.0,2200.0,0,0,2200.0,2200.0,0,0,2200.0,2200.0,0,0,2200.0,2200.0,0,0,181.8181818181818,200.0,181.8181818181818,922.4727272727272,352.0,330.0,418.0
6,A,e294wz,2835　テープライト,2.01,0.0,149.65,1.0,301.0,30.1,45.45454545454545,1600.0,1600.0,0,0,1600.0,1600.0,0,0,1600.0,1600.0,0,0,1600.0,1600.0,0,0,181.8181818181818,200.0,181.8181818181818,558.3727272727273,256.0,240.0,304.0
7,A,e293wz,2835　テープライト,3.13,0.0,157.0,1.0,492.0,49.2,45.45454545454545,1800.0,1800.0,0,0,1800.0,1800.0,0,0,1800.0,1800.0,0,0,1800.0,1800.0,0,0,181.8181818181818,200.0,181.8181818181818,768.4727272727273,288.0,270.0,342.0
8,A,e116zz,両面テープ,3.28,0.028,150.0,1.0,506.0,50.6,9.09090909090909,2400.0,2400.0,0,0,2400.0,2400.0,0,0,2400.0,2400.0,0,0,2400.0,2400.0,0,0,181.8181818181818,200.0,181.8181818181818,747.5090909090909,384.0,360.0,456.0
9,A,e114zz,両面テープ,8.06,0.028,150.0,1.0,1243.0,124.3,9.09090909090909,3700.0,3700.0,0,0,3700.0,3700.0,0,0,3700.0,3700.0,0,0,3700.0,3700.0,0,0,181.8181818181818,200.0,181.8181818181818,1558.2090909090907,592.0,555.0,703.0
10,A,e117zz,両面テープ,1.64,0.028,164.0,1.0,277.0,27.700000000000003,9.09090909090909,1300.0,1300.0,0,0,1300.0,1300.0,0,0,1300.0,1300.0,0,0,1300.0,1300.0,0,0,181.8181818181818,200.0,181.8181818181818,495.60909090909087,208.0,195.0,247.0
