no,rank,product_id,name,size,color,usd_cost,tariff,exchange_rate,pcs_per_unit,cost_jpy,import_tax,overseas_shipping,rakuten_list_price,rakuten_price,rakuten_discount1,rakuten_discount2,amazon_list_price,amazon_price,amazon_discount1,amazon_discount2,yahoo_list_price,yahoo_price,yahoo_discount1,yahoo_discount2,wholesale_list_price,wholesale_price,wholesale_discount1,wholesale_discount2,rakuten_shipping,amazon_shipping,yahoo_shipping,wholesale_shipping,rakuten_fee,amazon_fee,yahoo_fee
1,B,,HIDキット（35w）DC,H6,12000k,3.7,0,120.0,1.0,444.0,44.400000000000006,45.45454545454545,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,449.99999999999994,495.0,449.99999999999994,983.8545454545454,0.0,0.0,0.0
2,B,e130zc,VELENOパーカー,M,,17.87,0,120.0,1.0,2145.0,214.5,45.45454545454545,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,449.99999999999994,495.0,449.99999999999994,2854.9545454545455,0.0,0.0,0.0
3,B,,VELENO　ベロアポーチ　赤（張さんでも朱さんでもない）,,赤色,0.61,0,158.0,1.0,97.0,9.700000000000001,45.45454545454545,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,152.15454545454546,0.0,0.0,0.0
4,B,,VELENO　ベロアポーチ　黒（張さんでも朱さんでもない）,,黒色,0.61,0,158.0,1.0,97.0,9.700000000000001,45.45454545454545,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,152.15454545454546,0.0,0.0,0.0
5,B,f007wa,10400lm　LEDヘッドライト,H8,,57.0,0,120.0,1.0,6840.0,684.0,181.8181818181818,4700.0,4700.0,0,0,4700.0,4700.0,0,0,4700.0,4700.0,0,0,4700.0,4700.0,0,0,449.99999999999994,495.0,449.99999999999994,8155.818181818182,752.0,705.0,893.0
6,B,f007wb,10400lm　LEDヘッドライト,HB3/4,,57.0,0,120.0,1.0,6840.0,684.0,181.8181818181818,4700.0,4700.0,0,0,4700.0,4700.0,0,0,4700.0,4700.0,0,0,4700.0,4700.0,0,0,449.99999999999994,495.0,449.99999999999994,8155.818181818182,752.0,705.0,893.0
7,B,f007wm,10400lm　LEDヘッドライト（要確認：形状誤り？）,H4,,57.0,0,120.0,1.0,6840.0,684.0,181.8181818181818,4700.0,4700.0,0,0,4700.0,4700.0,0,0,4700.0,4700.0,0,0,4700.0,4700.0,0,0,449.99999999999994,495.0,449.99999999999994,8155.818181818182,752.0,705.0,893.0
8,A,e292wz,2835　テープライト,120cm,白色,4.02,0,157.0,1.0,632.0,63.2,45.45454545454545,2200.0,2200.0,0,0,2200.0,2200.0,0,0,2200.0,2200.0,0,0,2200.0,2200.0,0,0,181.8181818181818,200.0,181.8181818181818,922.4727272727273,352.0,330.0,418.0
9,A,e292bz,2835　テープライト,120cm,青色,4.02,0,157.0,1.0,632.0,63.2,45.45454545454545,2200.0,2200.0,0,0,2200.0,2200.0,0,0,2200.0,2200.0,0,0,2200.0,2200.0,0,0,181.8181818181818,200.0,181.8181818181818,922.4727272727273,352.0,330.0,418.0
10,A,e292rz,2835　テープライト,120cm,赤色,4.34,0,151.0,1.0,656.0,65.60000000000001,45.45454545454545,2200.0,2200.0,0,0,2200.0,2200.0,0,0,2200.0,2200.0,0,0,2200.0,2200.0,0,0,181.8181818181818,200.0,181.8181818181818,948.8727272727274,352.0,330.0,418.0
